Course_ID,Device_Type,Resource_Type,Recommendation_Label,DayOfWeek,TimeOfDay,Prev_Courses_Category,Learning_Efficiency_Category,Interaction_Rate_Category
C001,desktop,video,Recommended,Saturday,Afternoon,moderate,medium,medium
C005,mobile,video,Not_Recommended,Thursday,Morning,few,high,high
C005,desktop,quiz,Recommended,Tuesday,Morning,moderate,low,medium
C003,desktop,video,Recommended,Thursday,Night,moderate,medium,high
C003,desktop,video,Not_Recommended,Saturday,Night,few,high,high
C004,tablet,document,Not_Recommended,Saturday,Morning,few,high,low
C005,desktop,video,Recommended,Wednesday,Morning,moderate,medium,high
C004,mobile,quiz,Recommended,Sunday,Afternoon,moderate,medium,medium
C003,tablet,quiz,Recommended,Tuesday,Morning,many,medium,low
C002,desktop,quiz,Recommended,Saturday,Evening,many,low,high
C003,desktop,video,Not_Recommended,Thursday,Afternoon,few,high,high
C002,tablet,quiz,Recommended,Sunday,Afternoon,many,medium,medium
C004,desktop,document,Not_Recommended,Saturday,Afternoon,few,high,high
C005,mobile,video,Not_Recommended,Wednesday,Afternoon,few,high,high
C002,tablet,quiz,Not_Recommended,Monday,Morning,few,high,medium
C004,tablet,quiz,Not_Recommended,Tuesday,Evening,few,medium,medium
C005,mobile,document,Recommended,Wednesday,Morning,moderate,medium,low
C001,tablet,quiz,Recommended,Wednesday,Morning,moderate,low,high
C003,tablet,quiz,Recommended,Tuesday,Afternoon,moderate,medium,medium
C001,tablet,video,Not_Recommended,Monday,Night,few,high,high
C001,desktop,quiz,Recommended,Sunday,Night,many,medium,medium
C002,desktop,document,Recommended,Thursday,Night,moderate,medium,low
C002,tablet,quiz,Recommended,Saturday,Night,many,low,low
C003,mobile,document,Recommended,Friday,Night,moderate,medium,low
C001,tablet,video,Recommended,Wednesday,Night,moderate,low,low
C001,desktop,video,Recommended,Tuesday,Morning,moderate,medium,high
C005,desktop,document,Recommended,Friday,Afternoon,moderate,low,medium
C002,desktop,quiz,Not_Recommended,Saturday,Afternoon,few,high,low
C001,tablet,video,Recommended,Wednesday,Morning,moderate,low,low
C002,desktop,document,Not_Recommended,Monday,Evening,few,high,low
C002,desktop,video,Recommended,Monday,Night,moderate,medium,low
C001,desktop,video,Not_Recommended,Sunday,Night,few,high,low
C004,desktop,quiz,Recommended,Monday,Night,moderate,low,high
C004,desktop,video,Not_Recommended,Monday,Morning,few,high,high
C003,desktop,video,Not_Recommended,Wednesday,Evening,few,medium,low
C002,desktop,video,Recommended,Monday,Night,moderate,low,low
C005,tablet,quiz,Not_Recommended,Saturday,Morning,few,high,high
C003,desktop,video,Not_Recommended,Thursday,Morning,few,high,high
C001,mobile,quiz,Recommended,Wednesday,Afternoon,moderate,medium,low
C003,desktop,document,Recommended,Sunday,Evening,moderate,medium,high
C005,tablet,video,Not_Recommended,Monday,Afternoon,few,high,low
C003,desktop,quiz,Recommended,Sunday,Evening,moderate,low,medium
C002,tablet,video,Not_Recommended,Friday,Morning,few,high,medium
C004,mobile,video,Not_Recommended,Sunday,Afternoon,few,high,high
C004,tablet,quiz,Recommended,Sunday,Afternoon,moderate,medium,low
C001,mobile,document,Recommended,Tuesday,Afternoon,moderate,low,high
C001,mobile,document,Not_Recommended,Friday,Afternoon,few,high,high
C005,tablet,document,Not_Recommended,Thursday,Morning,few,high,high
C001,desktop,video,Recommended,Thursday,Morning,many,low,medium
C001,mobile,document,Recommended,Tuesday,Morning,moderate,low,low
C002,desktop,document,Not_Recommended,Saturday,Evening,few,high,medium
C003,tablet,document,Recommended,Thursday,Night,moderate,low,medium
C002,tablet,document,Recommended,Monday,Afternoon,moderate,medium,low
C003,mobile,document,Recommended,Wednesday,Afternoon,moderate,medium,low
C001,tablet,document,Recommended,Monday,Afternoon,many,low,medium
C001,tablet,quiz,Recommended,Wednesday,Afternoon,many,low,low
C003,tablet,document,Recommended,Monday,Night,many,low,medium
C004,tablet,quiz,Recommended,Friday,Night,many,low,high
