User_ID,Session_ID,Course_ID,Device_Type,Access_Time,Duration (sec),Clickstream,Prev_Courses_Completed,Feedback_Text,Course_Description,Resource_Type,Performance_Score,Engagement_Level,Recommendation_Label
U1000,S2000,C001,desktop,2025-05-24 12:54:01,1250,74,3,Detailed explanation and examples,Introduction to Machine Learning,video,83,0.46,1
U1001,S2001,C005,mobile,2025-06-05 09:21:13,395,26,0,Needs better visuals,Basics of Web Development,video,56,0.05,0
U1002,S2002,C005,desktop,2025-05-27 10:17:23,1718,94,4,Informative and well-paced,Basics of Web Development,quiz,87,0.81,1
U1003,S2003,C003,desktop,2025-05-29 04:19:25,1163,87,4,Good pace but some examples missing,Data Structures in Python,video,88,0.51,1
U1004,S2004,C003,desktop,2025-06-07 21:57:36,399,31,1,Too basic for my level,Data Structures in Python,video,59,0.06,0
U1005,S2005,C004,tablet,2025-06-07 11:11:13,687,22,1,Needs better visuals,Linear Regression Explained,document,60,0.08,0
U1006,S2006,C005,desktop,2025-05-28 05:51:16,1046,74,4,Good pace but some examples missing,Basics of Web Development,video,82,0.39,1
U1007,S2007,C004,mobile,2025-06-01 16:04:06,1373,70,4,Good pace but some examples missing,Linear Regression Explained,quiz,91,0.48,1
U1008,S2008,C003,tablet,2025-06-03 11:27:25,1663,64,5,Good pace but some examples missing,Data Structures in Python,quiz,100,0.53,1
U1009,S2009,C002,desktop,2025-05-31 19:28:27,1276,100,5,Good pace but some examples missing,Deep Learning Basics,quiz,97,0.64,1
U1010,S2010,C003,desktop,2025-06-12 13:21:28,332,45,1,Too basic for my level,Data Structures in Python,video,52,0.07,0
U1011,S2011,C002,tablet,2025-06-01 15:55:44,1322,73,5,Informative and well-paced,Deep Learning Basics,quiz,95,0.48,1
U1012,S2012,C004,desktop,2025-06-14 16:51:37,552,43,1,Needs better visuals,Linear Regression Explained,document,63,0.12,0
U1013,S2013,C005,mobile,2025-05-28 13:52:47,441,36,1,Too fast and less interactive,Basics of Web Development,video,42,0.08,0
U1014,S2014,C002,tablet,2025-06-09 11:51:55,732,39,0,"Not much depth, but okay",Deep Learning Basics,quiz,52,0.14,0
U1015,S2015,C004,tablet,2025-05-20 17:44:23,866,47,0,Too fast and less interactive,Linear Regression Explained,quiz,61,0.2,0
U1016,S2016,C005,mobile,2025-06-04 05:45:40,1348,67,4,Good pace but some examples missing,Basics of Web Development,document,93,0.45,1
U1017,S2017,C001,tablet,2025-05-28 09:21:16,1269,92,3,Very detailed and easy to follow,Introduction to Machine Learning,quiz,96,0.58,1
U1018,S2018,C003,tablet,2025-05-27 13:56:56,1203,69,4,Detailed explanation and examples,Data Structures in Python,quiz,85,0.42,1
U1019,S2019,C001,tablet,2025-05-19 04:03:41,319,23,1,Too basic for my level,Introduction to Machine Learning,video,65,0.04,0
U1020,S2020,C001,desktop,2025-06-15 22:04:38,1080,65,5,Very detailed and easy to follow,Introduction to Machine Learning,quiz,95,0.35,1
U1021,S2021,C002,desktop,2025-05-22 04:38:21,1562,70,4,Detailed explanation and examples,Deep Learning Basics,document,96,0.55,1
U1022,S2022,C002,tablet,2025-06-14 02:22:54,1706,72,5,Informative and well-paced,Deep Learning Basics,quiz,89,0.61,1
U1023,S2023,C003,mobile,2025-05-23 04:31:14,1462,67,3,Very detailed and easy to follow,Data Structures in Python,document,87,0.49,1
U1024,S2024,C001,tablet,2025-06-04 01:46:23,1602,74,3,Very detailed and easy to follow,Introduction to Machine Learning,video,82,0.59,1
U1025,S2025,C001,desktop,2025-05-27 07:58:09,1072,92,3,Informative and well-paced,Introduction to Machine Learning,video,88,0.49,1
U1026,S2026,C005,desktop,2025-05-23 13:27:19,1584,96,4,Informative and well-paced,Basics of Web Development,document,87,0.76,1
U1027,S2027,C002,desktop,2025-06-07 12:19:27,741,31,1,"Not much depth, but okay",Deep Learning Basics,quiz,53,0.11,0
U1028,S2028,C001,tablet,2025-05-21 05:25:21,1661,66,3,Excellent and very engaging content,Introduction to Machine Learning,video,92,0.55,1
U1029,S2029,C002,desktop,2025-05-26 20:31:44,759,24,1,Too basic for my level,Deep Learning Basics,document,45,0.09,0
U1030,S2030,C002,desktop,2025-05-19 03:57:42,1563,66,3,Detailed explanation and examples,Deep Learning Basics,video,100,0.52,1
U1031,S2031,C001,desktop,2025-05-18 00:34:25,797,35,0,Too fast and less interactive,Introduction to Machine Learning,video,52,0.14,0
U1032,S2032,C004,desktop,2025-05-19 01:54:24,1271,89,4,Detailed explanation and examples,Linear Regression Explained,quiz,93,0.57,1
U1033,S2033,C004,desktop,2025-06-02 06:27:20,522,50,0,Needs better visuals,Linear Regression Explained,video,58,0.13,0
U1034,S2034,C003,desktop,2025-06-11 17:02:04,788,36,0,Needs better visuals,Data Structures in Python,video,41,0.14,0
U1035,S2035,C002,desktop,2025-06-16 01:47:27,1691,75,4,Detailed explanation and examples,Deep Learning Basics,video,83,0.63,1
U1036,S2036,C005,tablet,2025-06-07 07:08:47,383,33,1,I couldn’t understand the topic,Basics of Web Development,quiz,48,0.06,0
U1037,S2037,C003,desktop,2025-05-29 06:41:02,434,41,1,Too basic for my level,Data Structures in Python,video,54,0.09,0
U1038,S2038,C001,mobile,2025-05-21 13:44:03,1576,66,3,Good pace but some examples missing,Introduction to Machine Learning,quiz,97,0.52,1
U1039,S2039,C003,desktop,2025-05-25 19:58:03,1070,75,4,Good pace but some examples missing,Data Structures in Python,document,89,0.4,1
U1040,S2040,C005,tablet,2025-05-19 15:36:55,841,20,1,Too fast and less interactive,Basics of Web Development,video,61,0.08,0
U1041,S2041,C003,desktop,2025-05-18 19:52:45,1760,95,3,Excellent and very engaging content,Data Structures in Python,quiz,88,0.84,1
U1042,S2042,C002,tablet,2025-05-30 07:49:30,570,36,1,Too fast and less interactive,Deep Learning Basics,video,48,0.1,0
U1043,S2043,C004,mobile,2025-05-25 12:36:51,641,44,0,Too basic for my level,Linear Regression Explained,video,60,0.14,0
U1044,S2044,C004,tablet,2025-05-25 13:15:50,1574,60,3,Good pace but some examples missing,Linear Regression Explained,quiz,82,0.47,1
U1045,S2045,C001,mobile,2025-05-20 13:37:46,1151,87,3,Excellent and very engaging content,Introduction to Machine Learning,document,81,0.5,1
U1046,S2046,C001,mobile,2025-05-23 12:02:12,555,41,0,Needs better visuals,Introduction to Machine Learning,document,51,0.11,0
U1047,S2047,C005,tablet,2025-05-22 10:54:08,542,47,0,I couldn’t understand the topic,Basics of Web Development,document,65,0.13,0
U1048,S2048,C001,desktop,2025-06-12 06:01:13,1340,86,5,Excellent and very engaging content,Introduction to Machine Learning,video,87,0.58,1
U1049,S2049,C001,mobile,2025-06-10 11:46:54,1481,74,3,Excellent and very engaging content,Introduction to Machine Learning,document,94,0.55,1
U1050,S2050,C002,desktop,2025-06-14 18:32:18,497,32,1,Too fast and less interactive,Deep Learning Basics,document,48,0.08,0
U1051,S2051,C003,tablet,2025-06-12 00:21:23,1695,94,4,Very detailed and easy to follow,Data Structures in Python,document,80,0.8,1
U1052,S2052,C002,tablet,2025-05-26 12:43:54,1271,62,3,Informative and well-paced,Deep Learning Basics,document,99,0.39,1
U1053,S2053,C003,mobile,2025-05-21 15:46:37,1523,67,4,Good pace but some examples missing,Data Structures in Python,document,98,0.51,1
U1054,S2054,C001,tablet,2025-06-02 16:54:12,1532,94,5,Excellent and very engaging content,Introduction to Machine Learning,document,86,0.72,1
U1055,S2055,C001,tablet,2025-05-21 13:45:17,1638,80,5,Excellent and very engaging content,Introduction to Machine Learning,quiz,83,0.66,1
U1056,S2056,C003,tablet,2025-06-16 02:29:40,1412,78,5,Good pace but some examples missing,Data Structures in Python,document,84,0.55,1
U1057,S2057,C004,tablet,2025-05-30 03:09:47,1178,99,5,Informative and well-paced,Linear Regression Explained,quiz,89,0.58,1
U1058,S2058,C001,mobile,2025-06-12 06:23:27,740,45,1,"Not much depth, but okay",Introduction to Machine Learning,document,54,0.17,0
U1059,S2059,C002,tablet,2025-06-03 00:45:49,1753,70,5,Excellent and very engaging content,Deep Learning Basics,quiz,82,0.61,1
U1060,S2060,C005,mobile,2025-05-22 10:46:38,540,41,1,I couldn’t understand the topic,Basics of Web Development,video,47,0.11,0
U1061,S2061,C001,desktop,2025-06-04 07:15:21,786,39,0,"Not much depth, but okay",Introduction to Machine Learning,quiz,54,0.15,0
U1062,S2062,C005,desktop,2025-06-11 20:17:13,1393,91,4,Good pace but some examples missing,Basics of Web Development,quiz,87,0.63,1
U1063,S2063,C001,desktop,2025-06-01 09:10:41,1224,71,5,Informative and well-paced,Introduction to Machine Learning,video,96,0.43,1
U1064,S2064,C005,desktop,2025-06-13 08:53:22,1124,89,3,Detailed explanation and examples,Basics of Web Development,quiz,94,0.5,1
U1065,S2065,C005,mobile,2025-06-05 10:19:57,1453,99,5,Informative and well-paced,Basics of Web Development,quiz,96,0.72,1
U1066,S2066,C004,desktop,2025-06-08 09:50:42,1486,88,4,Excellent and very engaging content,Linear Regression Explained,quiz,87,0.65,1
U1067,S2067,C004,tablet,2025-05-21 09:48:47,750,22,1,Too basic for my level,Linear Regression Explained,document,47,0.08,0
U1068,S2068,C003,tablet,2025-06-05 00:02:41,454,27,1,I couldn’t understand the topic,Data Structures in Python,quiz,62,0.06,0
U1069,S2069,C002,desktop,2025-06-01 13:36:08,1338,94,4,Very detailed and easy to follow,Deep Learning Basics,video,93,0.63,1
U1070,S2070,C004,mobile,2025-05-29 05:44:48,1598,61,5,Informative and well-paced,Linear Regression Explained,video,92,0.49,1
U1071,S2071,C003,mobile,2025-05-25 13:27:24,1429,94,5,Detailed explanation and examples,Data Structures in Python,video,97,0.67,1
U1072,S2072,C004,desktop,2025-06-05 12:31:23,797,20,1,"Not much depth, but okay",Linear Regression Explained,quiz,50,0.08,0
U1073,S2073,C002,mobile,2025-06-06 13:30:08,1637,94,3,Detailed explanation and examples,Deep Learning Basics,quiz,92,0.77,1
U1074,S2074,C001,desktop,2025-06-08 20:04:12,1138,89,3,Excellent and very engaging content,Introduction to Machine Learning,document,81,0.51,1
U1075,S2075,C003,desktop,2025-06-08 03:23:53,1345,84,4,Excellent and very engaging content,Data Structures in Python,video,93,0.56,1
U1076,S2076,C004,desktop,2025-05-23 03:00:10,1053,82,3,Very detailed and easy to follow,Linear Regression Explained,quiz,100,0.43,1
U1077,S2077,C001,desktop,2025-06-11 11:40:14,1204,61,5,Good pace but some examples missing,Introduction to Machine Learning,video,84,0.37,1
U1078,S2078,C004,tablet,2025-05-31 17:10:08,523,34,1,Too basic for my level,Linear Regression Explained,video,64,0.09,0
U1079,S2079,C005,tablet,2025-05-17 23:54:28,1735,67,3,Very detailed and easy to follow,Basics of Web Development,quiz,89,0.58,1
U1080,S2080,C001,mobile,2025-05-22 20:19:23,1384,85,5,Very detailed and easy to follow,Introduction to Machine Learning,quiz,86,0.59,1
U1081,S2081,C002,desktop,2025-06-06 13:31:34,1308,98,3,Very detailed and easy to follow,Deep Learning Basics,document,98,0.64,1
U1082,S2082,C005,mobile,2025-05-21 18:57:36,1070,92,5,Very detailed and easy to follow,Basics of Web Development,document,90,0.49,1
U1083,S2083,C004,desktop,2025-05-27 14:11:10,1370,100,4,Informative and well-paced,Linear Regression Explained,video,84,0.69,1
U1084,S2084,C005,tablet,2025-06-07 16:39:48,851,44,1,"Not much depth, but okay",Basics of Web Development,quiz,54,0.19,0
